title,price,stock,category,rating,image_url
Lilac Girls,Â£17.28,In stock,Historical Fiction,2,../../../../media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg
The Constant Princess (The Tudor Court #1),Â£16.62,In stock,Historical Fiction,3,../../../../media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg
The Invention of Wings,Â£37.34,In stock,Historical Fiction,1,../../../../media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg
World Without End (The Pillars of the Earth #2),Â£32.97,In stock,Historical Fiction,4,../../../../media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg
The Passion of Dolssa,Â£28.32,In stock,Historical Fiction,5,../../../../media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg
Girl With a Pearl Earring,Â£26.77,In stock,Historical Fiction,1,../../../../media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg
Voyager (Outlander #3),Â£21.07,In stock,Historical Fiction,5,../../../../media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg
The Red Tent,Â£35.66,In stock,Historical Fiction,5,../../../../media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg
The Last Painting of Sara de Vos,Â£55.55,In stock,Historical Fiction,2,../../../../media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg
The Guernsey Literary and Potato Peel Pie Society,Â£49.53,In stock,Historical Fiction,1,../../../../media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg
Girl in the Blue Coat,Â£46.83,In stock,Historical Fiction,2,../../../../media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg
Between Shades of Gray,Â£20.79,In stock,Historical Fiction,5,../../../../media/cache/f9/19/f919f64fc0e3642cdc604134bfd93774.jpg
While You Were Mine,Â£41.32,In stock,Historical Fiction,5,../../../../media/cache/45/e8/45e87bcad554d79eadf0f89df9cac6f9.jpg
The Secret Healer,Â£34.56,In stock,Historical Fiction,3,../../../../media/cache/69/d2/69d225899cce0a150c605ead01e02f60.jpg
Starlark,Â£25.83,In stock,Historical Fiction,3,../../../../media/cache/b4/9e/b49e66e8f446d9a3dae488955f2aa487.jpg
Lost Among the Living,Â£27.70,In stock,Historical Fiction,4,../../../../media/cache/5a/40/5a40d914bc3491e5909f1167f9cb34f2.jpg
A Spy's Devotion (The Regency Spies of London #1),Â£16.97,In stock,Historical Fiction,5,../../../../media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock,Sequential Art,5,../../../../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,Sequential Art,1,../../../../media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
This One Summer,Â£19.49,In stock,Sequential Art,4,../../../../media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
The Nameless City (The Nameless City #1),Â£38.16,In stock,Sequential Art,4,../../../../media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock,Sequential Art,2,../../../../media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock,Sequential Art,3,../../../../media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock,Sequential Art,5,../../../../media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
"Pop Gun War, Volume 1: Gift",Â£18.97,In stock,Sequential Art,1,../../../../media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
Patience,Â£10.16,In stock,Sequential Art,3,../../../../media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock,Sequential Art,4,../../../../media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,In stock,Sequential Art,1,../../../../media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,In stock,Sequential Art,2,../../../../media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,In stock,Sequential Art,3,../../../../media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,In stock,Sequential Art,2,../../../../media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â£29.17,In stock,Sequential Art,2,../../../../media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg
I am a Hero Omnibus Volume 1,Â£54.63,In stock,Sequential Art,3,../../../../media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg
"Giant Days, Vol. 2 (Giant Days #5-8)",Â£22.11,In stock,Sequential Art,2,../../../../media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg
Danganronpa Volume 1,Â£51.99,In stock,Sequential Art,4,../../../../media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg
"Codename Baboushka, Volume 1: The Conclave of Death",Â£36.72,In stock,Sequential Art,4,../../../../media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg
Camp Midnight,Â£17.08,In stock,Sequential Art,4,../../../../media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â£37.92,In stock,Sequential Art,2,../../../../media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg
The Shadow Hero (The Shadow Hero),Â£33.14,In stock,Sequential Art,1,../../../../media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg
"Fables, Vol. 1: Legends in Exile (Fables #1)",Â£41.62,In stock,Sequential Art,4,../../../../media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg
Batman: The Long Halloween (Batman),Â£36.50,In stock,Sequential Art,2,../../../../media/cache/78/a7/78a7f184a4d6d62412861c68f1c3ad90.jpg
Batman: The Dark Knight Returns (Batman),Â£15.38,In stock,Sequential Art,5,../../../../media/cache/be/a9/bea95dbd7b2a843519c9a1dcfc433f9b.jpg
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Â£37.34,In stock,Sequential Art,4,../../../../media/cache/19/39/19396172462f4cc0504d4e6e8b0e1647.jpg
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Â£53.90,In stock,Sequential Art,1,../../../../media/cache/66/d6/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg
Through the Woods,Â£25.38,In stock,Sequential Art,2,../../../../media/cache/4c/af/4caf8f2a5ee8828d408cc8faadd3419c.jpg
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Â£11.89,In stock,Sequential Art,5,../../../../media/cache/7e/c0/7ec0e9ca6153a23b2024b7df7407ee84.jpg
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Â£35.43,In stock,Sequential Art,4,../../../../media/cache/b2/48/b2484d13793ff1c4271a3d4023d4d24e.jpg
Robin War,Â£47.82,In stock,Sequential Art,3,../../../../media/cache/45/1d/451d3543022242b8b245793e6b5c26bb.jpg
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Â£25.48,In stock,Sequential Art,2,../../../../media/cache/da/78/da78757466c3b0a2c89f0ddf6b5e642f.jpg
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Â£38.39,In stock,Sequential Art,2,../../../../media/cache/c8/22/c822360ce0f91c40f7a0491c22287646.jpg
Lowriders to the Center of the Earth (Lowriders in Space #2),Â£51.51,In stock,Sequential Art,2,../../../../media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg
El Deafo,Â£57.62,In stock,Sequential Art,5,../../../../media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg
Batman: Europa,Â£32.01,In stock,Sequential Art,2,../../../../media/cache/f1/fe/f1fecf0ce9b5771e4d2c9619e8550988.jpg
Art Ops Vol. 1,Â£48.80,In stock,Sequential Art,3,../../../../media/cache/0b/b4/0bb4c64f1522c033368df5567a349472.jpg
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Â£10.90,In stock,Sequential Art,2,../../../../media/cache/a2/b9/a2b974e5a66e7502c77d2e4632abe033.jpg
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Â£33.95,In stock,Sequential Art,4,../../../../media/cache/7c/ea/7cea6ff4f6f1427739b136db35fbfad4.jpg
Roller Girl,Â£14.10,In stock,Sequential Art,5,../../../../media/cache/b8/bd/b8bd3e5bc547c7c851689a844c9db429.jpg
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Â£19.57,In stock,Sequential Art,1,../../../../media/cache/b4/36/b43672509477baa090e57ebeacbb28fb.jpg
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Â£20.96,In stock,Sequential Art,4,../../../../media/cache/94/1a/941a14dec32f0a949c38a325a715c138.jpg
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Â£36.39,In stock,Sequential Art,3,../../../../media/cache/07/5c/075c210f5ce43b84d29646a54529d1bd.jpg
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Â£16.33,In stock,Sequential Art,1,../../../../media/cache/51/cf/51cf19c74f21a7043910615fefcf0847.jpg
"Death Note, Vol. 5: Whiteout (Death Note #5)",Â£52.41,In stock,Sequential Art,1,../../../../media/cache/4e/c1/4ec161cc09ee437c9eda6d437d232a11.jpg
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Â£27.88,In stock,Sequential Art,2,../../../../media/cache/47/71/477173fe3000a6da4b241c2e71a21418.jpg
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Â£50.44,In stock,Sequential Art,4,../../../../media/cache/38/79/38794d8729a111018260d931e7101de2.jpg
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Â£14.41,In stock,Sequential Art,3,../../../../media/cache/ee/ed/eeeddf8af9e6cc8c7f71c0e41de1b562.jpg
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Â£55.55,In stock,Sequential Art,5,../../../../media/cache/bb/18/bb1845c22faea465cad3d556d22936a2.jpg
"Saga, Volume 3 (Saga (Collected Editions) #3)",Â£21.57,In stock,Sequential Art,5,../../../../media/cache/d8/fd/d8fd30b3e5781e880a3efe4c9495b417.jpg
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Â£43.63,In stock,Sequential Art,3,../../../../media/cache/c9/a5/c9a559e3ba407c1d70ebfc4e2f0d82db.jpg
Persepolis: The Story of a Childhood (Persepolis #1-2),Â£39.13,In stock,Sequential Art,1,../../../../media/cache/14/98/14987a55d9609e706d2619814e2a8b0a.jpg
Original Fake,Â£31.45,In stock,Sequential Art,3,../../../../media/cache/e7/29/e72934871f9b42a807d976670a446e12.jpg
"Grayson, Vol 3: Nemesis (Grayson #3)",Â£42.72,In stock,Sequential Art,1,../../../../media/cache/f9/4c/f94cfc3c82abb799568d1ea029b1d3d1.jpg
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Â£45.17,In stock,Sequential Art,2,../../../../media/cache/7b/e7/7be75475a916d6df4edebfc5fe36c3f9.jpg
"Black Butler, Vol. 1 (Black Butler #1)",Â£49.31,In stock,Sequential Art,1,../../../../media/cache/99/48/9948564dec3ac2f9e32419911b181e37.jpg
Awkward,Â£38.02,In stock,Sequential Art,2,../../../../media/cache/41/72/417255e608c389aedfb68491dae92c9c.jpg
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Â£54.81,In stock,Sequential Art,1,../../../../media/cache/e3/ae/e3ae48fe07d77611b49b5b78d99418ae.jpg
"Saga, Volume 2 (Saga (Collected Editions) #2)",Â£11.75,In stock,Sequential Art,3,../../../../media/cache/1a/eb/1aeb5d30809ad96d7c323228a2bd23d3.jpg
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Â£11.64,In stock,Sequential Art,5,../../../../media/cache/e9/fb/e9fb3236b73384253144f89b6eec6a68.jpg
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Â£18.51,In stock,Sequential Art,4,../../../../media/cache/ae/16/ae169bb5ae814e0fb900cdf9e99332a7.jpg
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Â£36.52,In stock,Sequential Art,2,../../../../media/cache/64/75/64752f8cdae54b164fb81bfd81accd55.jpg
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Â£54.12,In stock,Sequential Art,3,../../../../media/cache/56/ea/56eac75378feb4cab0dcb9d2101cf58b.jpg
The Complete Maus (Maus #1-2),Â£10.64,In stock,Sequential Art,3,../../../../media/cache/a6/f8/a6f889e0ba02be31875d3a324090ef5e.jpg
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Â£42.12,In stock,Sequential Art,3,../../../../media/cache/6c/60/6c607509837e2b362ffd7c0e15e7b1f9.jpg
"Saga, Volume 1 (Saga (Collected Editions) #1)",Â£28.48,In stock,Sequential Art,1,../../../../media/cache/c6/ca/c6cab3f679acb45fd2eba092ec9f6a2a.jpg
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Â£46.96,In stock,Sequential Art,5,../../../../media/cache/0d/22/0d22f9ee696b7443d1573e7752645c6d.jpg
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Â£21.71,In stock,Sequential Art,4,../../../../media/cache/87/2b/872ba3b06a97e6662770bc2152595b84.jpg
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Â£29.87,In stock,Sequential Art,3,../../../../media/cache/d5/c5/d5c5a6ebf05b68bee78a38a8ea62305d.jpg
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Â£39.39,In stock,Sequential Art,4,../../../../media/cache/f4/96/f496db4d78639e233978ae2bee021752.jpg
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Â£45.24,In stock,Sequential Art,3,../../../../media/cache/16/46/16460146a1a8b99c82da027368383ade.jpg
"Giant Days, Vol. 1 (Giant Days #1-4)",Â£56.76,In stock,Sequential Art,4,../../../../media/cache/35/0b/350b1224dc46533851d5a34134e44842.jpg
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Â£40.28,In stock,Sequential Art,5,../../../../media/cache/7c/c1/7cc13a8fb238202250e87843c1a62f94.jpg
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Â£34.65,In stock,Sequential Art,5,../../../../media/cache/a8/38/a8383903c98af18b898b9d70d5be2c16.jpg
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Â£57.06,In stock,Sequential Art,4,../../../../media/cache/09/7c/097cb5ecc6fb3fbe1690cf0cbdea4ac5.jpg
The Secret Garden,Â£15.08,In stock,Classics,4,../../../../media/cache/c5/46/c5465a06182ed6ebfa40d049258a2f58.jpg
The Metamorphosis,Â£28.58,In stock,Classics,1,../../../../media/cache/4a/1b/4a1b6e9c1af75db0dc34ae63344f6883.jpg
The Pilgrim's Progress,Â£50.26,In stock,Classics,2,../../../../media/cache/45/bb/45bb59d19eb3aa868293d44809078418.jpg
The Hound of the Baskervilles (Sherlock Holmes #5),Â£14.82,In stock,Classics,2,../../../../media/cache/1f/b0/1fb03cdabe6001c8a2620f65e025cbd5.jpg
Little Women (Little Women #1),Â£28.07,In stock,Classics,4,../../../../media/cache/81/f5/81f559ebe403317226fa8b611e35ce8a.jpg
Gone with the Wind,Â£32.49,In stock,Classics,3,../../../../media/cache/27/82/2782701b5c877cb063065b9fc14c5b13.jpg
Candide,Â£58.63,In stock,Classics,3,../../../../media/cache/e3/c4/e3c4aba2409bb769a6488805e3fc4709.jpg
Animal Farm,Â£57.22,In stock,Classics,3,../../../../media/cache/10/db/10db56354b4550d92270c6f097d9bebc.jpg
Wuthering Heights,Â£17.73,In stock,Classics,3,../../../../media/cache/93/4e/934e966c1ddf559d3ac2b5c1407aaf1e.jpg
The Picture of Dorian Gray,Â£29.70,In stock,Classics,2,../../../../media/cache/a6/72/a67245346daa38c2b23a4fc64c6e7115.jpg
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Â£26.78,In stock,Classics,4,../../../../media/cache/42/c4/42c48f11b7e70a0f76c5ba9cb5c5018a.jpg
Beowulf,Â£38.35,In stock,Classics,2,../../../../media/cache/dd/6e/dd6e7b84e99f3b4b5655ea0db74af2b4.jpg
And Then There Were None,Â£35.01,In stock,Classics,2,../../../../media/cache/21/bf/21bf2eb0bff3134837def8bd40845ba0.jpg
The Story of Hong Gildong,Â£43.19,In stock,Classics,4,../../../../media/cache/ab/16/ab16eb035cc58809a73c4699477de9cb.jpg
The Little Prince,Â£45.42,In stock,Classics,2,../../../../media/cache/c0/78/c078355608dd81c7c5e4f5e1c5f73d23.jpg
Sense and Sensibility,Â£37.46,In stock,Classics,1,../../../../media/cache/7d/53/7d53e2264b9647ee307259be9f73585d.jpg
Of Mice and Men,Â£47.11,In stock,Classics,2,../../../../media/cache/0f/ca/0fca4597765ffacdb7bd529fc5eb88fa.jpg
Emma,Â£32.93,In stock,Classics,2,../../../../media/cache/09/63/09638baaef52f03827c215029c632a13.jpg
Alice in Wonderland (Alice's Adventures in Wonderland #1),Â£55.53,In stock,Classics,1,../../../../media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg
Sophie's World,Â£15.94,In stock,Philosophy,5,../../../../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
The Death of Humanity: and the Case for Life,Â£58.11,In stock,Philosophy,4,../../../../media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
The Stranger,Â£17.44,In stock,Philosophy,4,../../../../media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg
Proofs of God: Classical Arguments from Tertullian to Barth,Â£54.21,In stock,Philosophy,1,../../../../media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg
Kierkegaard: A Christian Missionary to Christians,Â£47.13,In stock,Philosophy,1,../../../../media/cache/05/ce/05ce699eaf78c0fae20308497c4f496a.jpg
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Â£29.93,In stock,Philosophy,5,../../../../media/cache/de/76/de76d5c473c358bd41c03cf710692bfb.jpg
Critique of Pure Reason,Â£20.75,In stock,Philosophy,1,../../../../media/cache/12/6e/126ef8f6473b81808ebbb9cff155e883.jpg
"Run, Spot, Run: The Ethics of Keeping Pets",Â£20.02,In stock,Philosophy,1,../../../../media/cache/91/e6/91e6190dcdd7d6cdeb94a82b60917ec4.jpg
The Nicomachean Ethics,Â£36.34,In stock,Philosophy,1,../../../../media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg
